country,latitude,longitude
Afghanistan,33.0,65.0
Akrotiri,34.617,32.967
Albania,41.0,20.0
Algeria,28.0,3.0
American Samoa,-14.333,-170.0
Andorra,42.5,1.5
Angola,-12.5,18.5
Anguilla,18.25,-63.167
Antarctica,-90.0,0.0
Antigua and Barbuda,17.05,-61.8
Arctic Ocean,90.0,0.0
Argentina,-34.0,-64.0
Armenia,40.0,45.0
Aruba,12.5,-69.967
Ashmore and Cartier Islands,-12.417,123.333
Atlantic Ocean,0.0,-25.0
Australia,-27.0,133.0
Austria,47.333,13.333
Azerbaijan,40.5,47.5
Bahamas,24.25,-76.0
Bahrain,26.0,50.55
Bangladesh,24.0,90.0
Barbados,13.167,-59.533
Belarus,53.0,28.0
Belgium,50.833,4.0
Belize,17.25,-88.75
Benin,9.5,2.25
Bermuda,32.333,-64.75
Bhutan,27.5,90.5
Bolivia,-17.0,-65.0
Bosnia and Herzegovina,44.0,18.0
Botswana,-22.0,24.0
Bouvet Island,-54.433,3.4
Brazil,-10.0,-55.0
British Indian Ocean Territory,-6.0,71.5
British Virgin Islands,18.5,-64.5
Brunei,4.5,114.667
Bulgaria,43.0,25.0
Burkina Faso,13.0,-2.0
Burma,22.0,98.0
Burundi,-3.5,30.0
Cabo Verde,16.0,-24.0
Cambodia,13.0,105.0
Cameroon,6.0,12.0
Canada,60.0,-95.0
Cayman Islands,19.5,-80.5
Central African Republic,7.0,21.0
Chad,15.0,19.0
Chile,-30.0,-71.0
China,35.0,105.0
Christmas Island,-10.5,105.667
Clipperton Island,10.283,-109.217
Cocos (Keeling) Islands,-12.5,96.833
Colombia,4.0,-72.0
Comoros,-12.167,44.25
"Congo, Democratic Republic of the",0.0,25.0
"Congo, Republic of the",-1.0,15.0
Cook Islands,-21.233,-159.767
Coral Sea Islands,-18.0,152.0
Costa Rica,10.0,-84.0
Cote d'Ivoire,8.0,-5.0
Croatia,45.167,15.5
Cuba,21.5,-80.0
Curacao,12.167,-69.0
Cyprus,35.0,33.0
Czechia,49.75,15.5
Denmark,56.0,10.0
Dhekelia,34.983,33.75
Djibouti,11.5,43.0
Dominica,15.417,-61.333
Dominican Republic,19.0,-70.667
Ecuador,-2.0,-77.5
Egypt,27.0,30.0
El Salvador,13.833,-88.917
Equatorial Guinea,2.0,10.0
Eritrea,15.0,39.0
Estonia,59.0,26.0
Eswatini,-26.5,31.5
Ethiopia,8.0,38.0
Falkland Islands (Islas Malvinas),-51.75,-59.0
Faroe Islands,62.0,-7.0
Fiji,-18.0,175.0
Finland,64.0,26.0
France,46.0,2.0
French Polynesia,-15.0,-140.0
French Southern Territories,-37.833,77.533
Gabon,-1.0,11.75
Gambia,13.467,-16.567
Gaza Strip,31.417,34.333
Georgia,42.0,43.5
Germany,51.0,9.0
Ghana,8.0,-2.0
Gibraltar,36.133,-5.35
Greece,39.0,22.0
Greenland,72.0,-40.0
Grenada,12.117,-61.667
Guam,13.467,144.783
Guatemala,15.5,-90.25
Guernsey,49.467,-2.583
Guinea,11.0,-10.0
Guinea-Bissau,12.0,-15.0
Guyana,5.0,-59.0
Haiti,19.0,-72.417
Heard Island and McDonald Islands,-53.1,72.517
Holy See (Vatican City),41.9,12.45
Honduras,15.0,-86.5
Hong Kong,22.25,114.167
Hungary,47.0,20.0
Iceland,65.0,-18.0
India,20.0,77.0
Indian Ocean,-20.0,80.0
Indonesia,-5.0,120.0
Iran,32.0,53.0
Iraq,33.0,44.0
Ireland,53.0,-8.0
Isle of Man,54.25,-4.5
Israel,31.5,34.75
Italy,42.833,12.833
Jamaica,18.25,-77.5
Jan Mayen,71.0,-8.0
Japan,36.0,138.0
Jersey,49.25,-2.167
Jordan,31.0,36.0
Kazakhstan,48.0,68.0
Kenya,1.0,38.0
Kiribati,1.417,173.0
"Korea, North",40.0,127.0
"Korea, South",37.0,127.5
Kosovo,42.583,21.0
Kuwait,29.5,45.75
Kyrgyzstan,41.0,75.0
Laos,18.0,105.0
Latvia,57.0,25.0
Lebanon,33.833,35.833
Lesotho,-29.5,28.5
Liberia,6.5,-9.5
Libya,25.0,17.0
Liechtenstein,47.267,9.533
Lithuania,56.0,24.0
Luxembourg,49.75,6.167
Macau,22.167,113.55
Madagascar,-20.0,47.0
Malawi,-13.5,34.0
Malaysia,2.5,112.5
Maldives,3.25,73.0
Mali,17.0,-4.0
Malta,35.833,14.583
Marshall Islands,9.0,168.0
Mauritania,20.0,-12.0
Mauritius,-20.283,57.55
Mexico,23.0,-102.0
"Micronesia, Federated States of",6.917,158.25
Moldova,47.0,29.0
Monaco,43.733,7.4
Mongolia,46.0,105.0
Montenegro,42.5,19.3
Montserrat,16.75,-62.2
Morocco,28.5,-10.0
Mozambique,-18.25,35.0
Namibia,-22.0,17.0
Nauru,-0.533,166.917
Navassa Island,18.417,-75.033
Nepal,28.0,84.0
Netherlands,52.517,5.767
New Caledonia,-21.5,165.5
New Zealand,-41.0,174.0
Nicaragua,13.0,-85.0
Niger,16.0,8.0
Nigeria,10.0,8.0
Niue,-19.033,-169.867
Norfolk Island,-29.033,167.95
North Macedonia,41.833,22.0
Northern Mariana Islands,15.2,145.75
Norway,62.0,10.0
Oman,21.0,57.0
Pacific Ocean,0.0,-160.0
Pakistan,30.0,70.0
Palau,7.5,134.5
Panama,9.0,-80.0
Papua New Guinea,-6.0,147.0
Paracel Islands,16.5,112.0
Paraguay,-23.0,-58.0
Peru,-10.0,-76.0
Philippines,13.0,122.0
Pitcairn Islands,-25.067,-130.1
Poland,52.0,20.0
Portugal,39.5,-8.0
Puerto Rico,18.25,-66.5
Qatar,25.5,51.25
Romania,46.0,25.0
Russia,60.0,100.0
Rwanda,-2.0,30.0
Saint Barthelemy,18.5,-63.417
"Saint Helena, Ascension, and Tristan da CunhaSaint Helena: ",-15.95,-5.7
Saint Kitts and Nevis,17.333,-62.75
Saint Lucia,13.883,-60.967
Saint Martin,18.083,-63.95
Saint Pierre and Miquelon,46.833,-56.333
Saint Vincent and the Grenadines,13.25,-61.2
Samoa,-13.583,-172.333
San Marino,43.767,12.417
Sao Tome and Principe,1.0,7.0
Saudi Arabia,25.0,45.0
Senegal,14.0,-14.0
Serbia,44.0,21.0
Seychelles,-4.583,55.667
Sierra Leone,8.5,-11.5
Singapore,1.367,103.8
Sint Maarten,18.067,-63.067
Slovakia,48.667,19.5
Slovenia,46.117,14.817
Solomon Islands,-8.0,159.0
Somalia,10.0,49.0
South Africa,-29.0,24.0
South Georgia and South Sandwich Islands,-54.5,-37.0
South Sudan,8.0,30.0
Southern Ocean,-60.0,90.0
Spain,40.0,-4.0
Spratly Islands,8.633,111.917
Sri Lanka,7.0,81.0
Sudan,15.0,30.0
Suriname,4.0,-56.0
Svalbard,78.0,20.0
Sweden,62.0,15.0
Switzerland,47.0,8.0
Syria,35.0,38.0
Taiwan,23.5,121.0
Tajikistan,39.0,71.0
Tanzania,-6.0,35.0
Thailand,15.0,100.0
Timor-Leste,-8.833,125.917
Togo,8.0,1.167
Tokelau,-9.0,-172.0
Tonga,-20.0,-175.0
Trinidad and Tobago,11.0,-61.0
Tunisia,34.0,9.0
Turkey,39.0,35.0
Turkmenistan,40.0,60.0
Turks and Caicos Islands,21.75,-71.583
Tuvalu,-8.0,178.0
Uganda,1.0,32.0
Ukraine,49.0,32.0
United Arab Emirates,24.0,54.0
United Kingdom,54.0,-2.0
United States,38.0,-97.0
United States Pacific Island Wildlife RefugesBaker Island: ,0.217,-176.467
Uruguay,-33.0,-56.0
Uzbekistan,41.0,64.0
Vanuatu,-16.0,167.0
Venezuela,8.0,-66.0
Vietnam,16.167,107.833
Virgin Islands,18.333,-64.833
Wake Island,19.283,166.65
Wallis and Futuna,-13.3,-176.2
West Bank,32.0,35.25
Yemen,15.0,48.0
Zambia,-15.0,30.0
Zimbabwe,-20.0,30.0
